Id,Credit Default
0,0
1,0
2,1
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,0
32,0
33,0
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,1
56,0
57,1
58,0
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,0
67,1
68,0
69,0
70,1
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,1
87,1
88,0
89,0
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,1
98,1
99,0
100,0
101,1
102,0
103,1
104,1
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,1
116,1
117,1
118,0
119,1
120,0
121,1
122,0
123,0
124,0
125,0
126,1
127,0
128,1
129,0
130,1
131,1
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,1
148,0
149,1
150,0
151,0
152,0
153,0
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,1
170,0
171,0
172,1
173,0
174,0
175,0
176,1
177,0
178,1
179,1
180,0
181,0
182,0
183,0
184,1
185,0
186,1
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,1
198,0
199,0
200,1
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,0
209,1
210,1
211,1
212,0
213,0
214,0
215,1
216,1
217,1
218,0
219,1
220,1
221,1
222,1
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,0
248,1
249,0
250,0
251,1
252,1
253,1
254,0
255,0
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,0
264,0
265,0
266,1
267,1
268,0
269,0
270,1
271,0
272,1
273,0
274,1
275,0
276,1
277,0
278,0
279,0
280,1
281,1
282,0
283,1
284,1
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,1
303,0
304,0
305,0
306,0
307,1
308,0
309,1
310,1
311,1
312,1
313,0
314,1
315,1
316,0
317,0
318,1
319,1
320,1
321,1
322,0
323,0
324,1
325,0
326,0
327,1
328,0
329,1
330,0
331,0
332,0
333,0
334,1
335,0
336,1
337,0
338,1
339,1
340,1
341,0
342,1
343,1
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,0
357,0
358,1
359,1
360,1
361,1
362,0
363,0
364,1
365,1
366,0
367,0
368,0
369,1
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,1
379,0
380,0
381,1
382,1
383,0
384,0
385,1
386,1
387,1
388,1
389,1
390,1
391,0
392,0
393,0
394,0
395,0
396,1
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,1
405,1
406,0
407,0
408,1
409,0
410,0
411,0
412,1
413,0
414,1
415,1
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,1
424,1
425,1
426,0
427,0
428,0
429,1
430,0
431,0
432,0
433,0
434,1
435,0
436,1
437,0
438,0
439,1
440,1
441,1
442,0
443,0
444,1
445,1
446,1
447,0
448,0
449,1
450,0
451,1
452,1
453,0
454,1
455,0
456,1
457,1
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,1
480,0
481,1
482,1
483,0
484,1
485,1
486,0
487,0
488,0
489,0
490,1
491,1
492,0
493,1
494,1
495,0
496,0
497,1
498,0
499,0
500,0
501,0
502,0
503,0
504,1
505,0
506,1
507,0
508,1
509,0
510,0
511,0
512,0
513,1
514,1
515,1
516,0
517,1
518,1
519,1
520,0
521,0
522,1
523,0
524,0
525,1
526,0
527,0
528,0
529,1
530,0
531,0
